OBJECTID,Shape,nombre,id_ruta,codigo,recorrido,from_date,sistema,tipo,empresa,id_gflota,longitud,fecha_actualizacion,Shape_Length
75,"(4708254.298164616, 2254710.267417075)",Derecha Vereda Boquerón - Parque San Cristóbal,90090,255V3,Origen Destino_Destino Origen,2024-08-27 00:00:00,2A,Directa No Centro,Rápido San Cristóbal,110186,20513.872451992822,2024-11-04 05:11:05,20513.872452004212
76,"(4714729.755266189, 2249825.275122019)",Directa Circular,90007,310,Origen Destino_Destino Origen,2021-11-11 00:00:00,"Circular Coonatra 300, 301, 310, 311",Circular,Coonatra,112467,19864.96128752154,2024-11-04 05:11:05,18195.859090135098
77,"(4714645.806092572, 2249987.237403221)",Directa Circular,90008,311,Origen Destino_Destino Origen,2021-11-11 00:00:00,"Circular Coonatra 300, 301, 310, 311",Circular,Coonatra,112477,28118.299470909944,2024-11-04 05:11:05,20047.517155847185
78,"(4717492.202845896, 2249147.801880664)",El Faro,90252,105,Origen Destino_Destino Origen,2024-08-27 00:00:00,6F,Directa Centro,Cootransmallat,111626,11776.916540487322,2024-11-04 05:11:05,8576.503586420875
79,"(4715314.505766233, 2251352.353365354)",El Hueco - Parque Berrío,90136,Anillo 2 Carrera 73,Origen Destino_Destino Origen,2024-08-27 00:00:00,2B,Directa Centro,Transporte Medellín Castilla,110455,15227.944713574489,2024-11-04 05:11:05,13550.986415785528
80,"(4717346.865172299, 2250778.5982697057)",El Jardín,90238,69,Origen Destino_Destino Origen,2024-08-27 00:00:00,6E,Directa Centro,Coopetransa,111515,16185.085317150995,2024-11-04 05:11:05,13105.861397393444
81,"(4709088.437049586, 2252983.3425554293)",El Llano,90351,255i,Origen Destino_Destino Origen,2024-08-27 00:00:00,2A,Integrada,Rápido San Cristóbal,113002,11921.304859216434,2024-11-04 05:11:05,9136.865144711657
82,"(4710473.145307412, 2249256.865029898)",El Morro-Travesías-Corazón-Santa Lucía,90298,202i,Origen Destino_Destino Origen,2018-08-01 00:00:00,8A,Integrada,Conducciones América,112252,12032.928768457312,2024-11-04 05:11:05,7619.828418754613
83,"(4708888.624267932, 2251512.8892171658)",El Patio-estación San Javier,90330,C23i,Origen Destino_Destino Origen,2024-08-27 00:00:00,8A,Integrada,Tax Maya,112092,22502.746754797638,2024-11-04 05:11:05,14156.032026952531
84,"(4716199.397598705, 2248417.3322594846)",El Salvador,90193,111,Origen Destino_Destino Origen,2024-08-27 00:00:00,6A,Directa Centro,Flota la Milagrosa,111155,13582.065189856658,2024-11-04 05:11:05,10671.717716278676
85,"(4716182.452765203, 2248484.1967357663)",El Salvador Barrio Nacional,90343,111,Origen Destino_Destino Origen,2024-08-27 00:00:00,6A,Directa Centro,Flota la Milagrosa,113015,12312.465006972363,2024-11-04 05:11:05,10097.149826214814
86,"(4716241.410670304, 2248439.7100818697)",El Salvador derecho,90191,111,Origen Destino_Destino Origen,2024-08-27 00:00:00,6A,Directa Centro,Flota la Milagrosa,112895,13692.167886909576,2024-11-04 05:11:05,10858.581879437907
87,"(4715417.90371476, 2253847.5080747777)",Estación Tricentenario,90110,261ii,Origen Destino_Destino Origen,2024-08-27 00:00:00,2B,Integrada,Transporte Medellín Castilla,110732,10580.161770547238,2024-11-04 05:11:05,8256.361747016717
88,"(4712643.804024122, 2248889.2565683587)",Estadio-Bolivariana-Laureles,90286,193i,Origen Destino_Destino Origen,2021-10-19 00:00:00,8A,Integrada,Autobuses Poblado Laureles,112392,12443.925422421398,2024-11-04 05:11:05,11851.392388813065
89,"(4712722.578655587, 2248871.922698417)",Estadio-Laureles Santa Teresita,90287,193ii,Origen Destino_Destino Origen,2021-10-19 00:00:00,8A,Integrada,Autobuses Poblado Laureles,112402,13859.267067944162,2024-11-04 05:11:05,13290.432023965628
90,"(4714458.2118123025, 2251124.0276115867)",Éxito,90099,267,Origen Destino_Destino Origen,2024-08-27 00:00:00,2A,Directa Centro,Palenque Robledal,110405,23741.32245271245,2024-11-04 05:11:05,20154.14983123093
91,"(4712952.13106628, 2249751.230026032)",Éxito Corazón,90292,201,Origen Destino_Destino Origen,2021-10-19 00:00:00,8A,Directa Centro,Conducciones América,112955,21301.939114036395,2024-11-04 05:11:05,18507.20875741494
92,"(4712919.077255205, 2249739.7053331286)",Éxito Corazón,90293,201,Origen Destino_Destino Origen,2021-10-19 00:00:00,8A,Directa Centro,Conducciones América,112965,21637.329955645633,2024-11-04 05:11:05,18668.697854427577
93,"(4716759.970043713, 2251782.7013148107)",Ferrocarril Minorista,90218,37 - 39,Origen Destino_Destino Origen,2020-07-13 00:00:00,6C,Directa Centro,Autocol,121385,22736.988777356928,2024-11-04 05:11:05,18143.273932556553
94,"(4715744.95231866, 2252741.658095776)",Florencia,90119,281,Origen Destino_Destino Origen,2024-08-27 00:00:00,2B,Directa Centro,Transporte Medellín Castilla,110625,21656.20274697688,2024-11-04 05:11:05,18811.39187737461
